group_id,post_id,group_name,target_comments,crawled_comments,percent_crawled
hoiriviewsua,1207148354884058,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1211,658,54.3
hoiriviewsua,1172213311710896,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1212,660,54.5
402671786045954,739549209024875,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,3470,1906,54.9
reviewsuact,2074441743316853,💞 REVIEW SỮA CÔNG THỨC💞,1296,712,54.9
402671786045954,713335034979626,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,4036,2241,55.5
reviewsuacongthuc,23978526501740649,Hội Review sữa công thức có tâm!!!,702,392,55.8
hoiriviewsua,1217279307204296,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1219,680,55.8
1710547889070752,8686513891474082,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,586,329,56.1
183774529022936,1988503451883359,HỘI REVIEW BỈM SỮA CHO BÉ <3,1368,775,56.7
939853694105892,1696347308456523,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1455,843,57.9
183774529022936,1896948274372211,HỘI REVIEW BỈM SỮA CHO BÉ <3,3472,2034,58.6
hoiriviewsua,1207148608217366,HỘI REVIEW SỮA CÔNG THỨC CHO BÉ 🍼🍼,1208,717,59.4
6183167068463220,23970141182672535,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,3557,2122,59.7
402671786045954,963741346605659,HỘI MẸ BỈM HỎI - ĐÁP - REVIEW SỮA CÔNG THỨC,2566,1540,60
1710547889070752,8624249767700495,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,534,321,60.1
184019427900518,932982493004204,REVIEW CÁC LOẠI SỮA CÔNG THỨC,2038,1243,61
804858320013004,2432638180568335,HỘI REVIEW SỮA CÔNG THỨC,713,435,61
804858320013004,2444839906014829,HỘI REVIEW SỮA CÔNG THỨC,1478,907,61.4
riviesuacongthuc,4404399003150330,💞💞 REVIEW SỮA CÔNG THỨC💞💞,4136,2588,62.6
804858320013004,2500862767079209,HỘI REVIEW SỮA CÔNG THỨC,1439,919,63.9
6183167068463220,27205229725830315,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1277,817,64
804858320013004,2429556830876470,HỘI REVIEW SỮA CÔNG THỨC,1718,1102,64.1
804858320013004,2429980127500807,HỘI REVIEW SỮA CÔNG THỨC,1733,1117,64.5
804858320013004,2399089630589857,HỘI REVIEW SỮA CÔNG THỨC,700,452,64.6
804858320013004,2444815802683906,HỘI REVIEW SỮA CÔNG THỨC,1486,977,65.7
939853694105892,1697215685036352,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,621,408,65.7
6183167068463220,25116673561352619,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1007,666,66.1
804858320013004,2500863947079091,HỘI REVIEW SỮA CÔNG THỨC,1406,938,66.7
804858320013004,2484016422097177,HỘI REVIEW SỮA CÔNG THỨC,1635,1093,66.9
804858320013004,2350810765417744,HỘI REVIEW SỮA CÔNG THỨC,1432,962,67.2
1710547889070752,25809366532095551,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,1477,993,67.2
6183167068463220,26300315806321716,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,2019,1358,67.3
nuoiconbangsuacongthu,1001941598727127,Nuôi Con Bằng Sữa Công Thức,1409,951,67.5
1710547889070752,25894299316935605,HỘI NUÔI CON BẰNG SỮA CÔNG THỨC,626,423,67.6
183774529022936,2181798222553880,HỘI REVIEW BỈM SỮA CHO BÉ <3,2246,1530,68.1
804858320013004,2371394776692676,HỘI REVIEW SỮA CÔNG THỨC,1723,1184,68.7
912404789814271,1674263546961721,REVIEW CÁC LOẠI SỮA CÔNG THỨC CHO BÉ YÊU,1144,790,69.1
183774529022936,1913302059403499,HỘI REVIEW BỈM SỮA CHO BÉ <3,1389,962,69.3
804858320013004,2429632417535578,HỘI REVIEW SỮA CÔNG THỨC,1734,1207,69.6
939853694105892,1695655345192386,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,618,431,69.7
6183167068463220,24807508592269119,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1033,721,69.8
804858320013004,2458872884611531,HỘI REVIEW SỮA CÔNG THỨC,1581,1107,70
939853694105892,1700584938032760,MẸ THÔNG THÁI CHỌN SỮA CÔNG THỨC,1349,947,70.2
804858320013004,2477697236062429,HỘI REVIEW SỮA CÔNG THỨC,568,400,70.4
804858320013004,2459719837860169,HỘI REVIEW SỮA CÔNG THỨC,1598,1127,70.5
6183167068463220,27254379100915377,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,607,430,70.8
804858320013004,2410716212760532,HỘI REVIEW SỮA CÔNG THỨC,607,430,70.8
804858320013004,2473121216520031,HỘI REVIEW SỮA CÔNG THỨC,556,395,71
6183167068463220,24752193941133918,KINH NGHIỆM CHỌN SỮA CÔNG THỨC CHO BÉ YÊU,1030,732,71.1
